application,model,coef,se
cattaneo2,interactive ATE,-231.81039024064955,23.482048842943414
cattaneo2,interactive ATTE,-222.65166505529044,23.53672662923363
cattaneo2,partial,-222.32395689212981,22.5510985563888
jtpa,interactive IV,1767.3305120095997,513.3541241525984
jtpa,partial IV,1737.9958309658205,512.0937971974686
jtpa,interactive ATE,1108.204663037216,322.32681300406495
jtpa,interactive ATTE,1125.4739812937125,322.94628781706905
jtpa,partial,1090.0380191788256,321.60166095638897
401k,partial,5210.2049827541305,1087.5610153975133
401k,interactive ATE,2633.680392184123,2771.16190395582
401k,interactive ATTE,563.3847575207645,6963.070346807339
401k,interactive IV,3829.545322331364,4028.8655878563945
401k,partial IV,7515.858485085211,1567.248041400544
